"GDP per capita, current prices
 (U.S. dollars per capita)",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Marshall Islands,2242.869,2422.927,2655.592,2625.241,2634.419,2689.53,2772.864,2893.428,2781.614,2881.209,3029.421,3236.508,3429.322,3584.073,3638.806,3669.525,4121.238,4526.757,4831.339,5244.74
Mauritania,673.361,641.849,634.588,711.709,796.923,963.498,1357.425,1425.466,1647.288,1475.591,1715.923,2012.828,1946.079,2072.492,1826.78,1668.065,1690.813,1758.542,1882.203,1987.267
Mauritius,4157.831,4081.162,4252.93,5072.811,5701.753,5590.468,5772.667,6663.186,8138.17,7416.659,8108.095,9320.873,9416.335,9766.77,10366.355,9507.999,9967.673,10844.145,11642.891,11407.849
Mexico,7511.855,7952.173,7987.331,7440.437,7858.828,8683.423,9521.36,10137.084,10520.798,8416.38,9718.129,10653.037,10733.341,11206.351,11376.926,9998.488,9063.537,9599.362,10024.115,10311.552
"Micronesia, Fed. States of",2179.424,2257.322,2277.946,2312.427,2269.675,2371.093,2414.385,2457.987,2531.994,2711.063,2887.354,3021.694,3170.962,3068.371,3082.895,3050.723,3197.214,3522.106,3854.141,3979.627
Moldova,448.062,505.784,569.109,680.272,894.061,1031.422,1179.323,1526.379,2102.942,1890.647,2428.106,2930.062,3031.129,3307.351,3314.553,2715.782,2857.879,3422.643,4121.047,4376.654
Mongolia,473.198,521.317,566.403,639.373,789.958,989.177,1321.606,1616.138,2109.269,1687.55,2602.373,3702.359,4281.33,4293.834,4081.015,3800.11,3575.095,3612.716,4078.182,4309.049
Montenegro,1596.628,1893.716,2081.045,2745.758,3379.643,3679.829,4429.804,5984.454,7396.665,6746.378,6694.166,7327.255,6590.582,7189.046,7389.894,6517.418,7031.533,7800.27,8854.776,8911.273
Morocco,1486.875,1489.702,1573.475,1914.006,2163.48,2232.944,2427.109,2759.516,3189.2,3162.86,3134.698,3367.347,3224.712,3463.601,3527.712,3235.57,3235.218,3401.256,3615.592,3622.679
Mozambique,319.358,296.268,302.546,326.075,383.27,416.811,435.334,482.198,563.649,520.403,471.904,594.586,657.645,664.078,673.969,589.86,428.927,461.415,504.536,508.164
Myanmar,159.287,145.105,139.436,177.444,213.4,239.129,266.297,347.813,492.977,593.446,727.194,1015.564,1104.637,1175.911,1244.184,1223.742,1163.794,1177.083,1271.677,1302.277
Namibia,2156.03,1954.968,1825.849,2630.11,3470.147,3742.509,3870.937,4378.564,4198.55,4340.183,5410.977,5870.933,6038.862,5540.619,5555.93,5020.473,4611.508,5438.761,5666.273,5099.427
Nauru,no data,no data,no data,no data,3066.932,3053.016,3144.743,2509.316,3982.194,4630.943,4813.327,6521.166,10005.183,8975.704,8630.426,7090.709,7825.366,8550.692,10582.207,10567.406
Nepal,266.158,269.25,269.082,281.039,319.068,354.973,388.995,440.856,532.331,542.536,671.998,795.314,794.093,809.346,827.394,882.308,880.225,1027.965,1161.534,1185.682
Netherlands,26327.855,26996.17,29401.972,35814.268,40477.3,42054.884,44936.006,51880.384,58015.396,52807.447,51165.823,54342.114,50175.559,52276.986,53026.478,45302.804,46165.177,48799.874,53224.694,52672.504
New Zealand,14021.625,13669.131,15706.932,20461.053,24849.116,27384.825,26220.073,31914.994,31762.708,28270.277,33393.529,38059.162,39684.531,42083.005,44285.966,38200.039,39414.454,42275.793,42761.93,42287.718
Nicaragua,1030.74,1054.66,1011.904,1010.231,1077.784,1152.801,1224.724,1326.658,1498.88,1438.131,1499.068,1652.097,1728.147,1783.56,1909.424,2029.124,2091.463,2147.856,2008.404,1940.115
Niger,197.275,207.769,227.424,267.41,285.39,320.925,335.336,389.258,477.272,462.269,476.064,511.49,528.921,551.557,562.888,484.173,497.885,517.589,570.983,554.124
Nigeria,554.64,583.187,730.836,780.399,963.236,1221.651,1563.031,1791.823,2197.776,1927.476,2328.425,2543.504,2756.41,2998.068,3222.691,2718.586,2176.001,1968.563,2153.094,2229.854
